Date,Month,Day,Year,Day_name,url,Warm_Up,A,B
2022-01-13,January,13,2022,Thursday,https://www.crossfitinvictus.com/wod/January-13-2022-performance/,".
3 Minutes Assault Bike w/ Nasal Breathing Only
Followed by…
Static Hang x 60 seconds
Wall Slides x 60 seconds
Handstand Hold x 60 seconds
Followed by…
Two Rounds (ramp up intensity throughout):
5 calorie AB
5 Wall Climbs
5-Line Shuttle Run
Followed by…
Power Breathing Practice
**This is to ramp you up for the workout! It can also be used as a tool to down regulate your heart and breath. Please do not skip this!!**
Then…
Five rounds for time:
400 Meter Run
20/15 Calories of Assault Bike
15 Toes to Bar
400 Meter Run
40 Air Squats
Time Cap = 40:00 Minutes",,
2022-01-14,January,14,2022,Friday,https://www.crossfitinvictus.com/wod/January-14-2022-performance/,".
4 Minutes of Calf & Hamstring Mobility of Your Choice
Run or Row 400 meters (at a jog/low effort)
4 Minutes of Hip Flexor & Quad Mobility of Your Choice
Run 400 or Row meters (faster than the first 400)
4 Minutes of Lat & Subscap Mobility of Your Choice
Run or Row 400 meters (at your 5k pace)
Focus on relaxed breathing throughout the mobility drills and also the 400’s. If you cannot breathe properly, the stretch is too intense and you need to back off to the place where you can maintain a rhythmic breathing pattern. For the 400’s, focus on keeping your body in a relaxed, yet good posture and maintaining your breathing pattern.
Then…","“The Back 40”
For time:
50/40 Calories of Rowing on Concept 2
40 Deadlifts (225/155 lbs)
50/40 Calories of Rowing on Concept 2","Three sets of:
Barbell Hip Thrusts x 8 reps @ 2112
immediately followed by…
Barbell Hip Thrust Iso-Hold x 15-30 seconds
(hold the top position, creating maximal contraction of your glutes and hamstrings for as long as you can hold)
Rest 2 minutes"
2022-01-15,January,15,2022,Saturday,https://www.crossfitinvictus.com/wod/January-15-2022-performance/,".
Full Body CARs Routine
Followed by…
Two sets of:
Med-Ball Squats x 10 reps
Med-Ball Rotational Throws x 10 reps (left)
Med-Ball Rotational Throws
x 10 reps (right)
Med-Ball Deadlifts x 10 reps
Med-Ball Alternating Step-Ups x 10 reps
Med-Ball Hamstring Curls
x 10 reps
Then…
Every 2 minutes, for 40 minutes (5 sets) for max calories:
Station 1 – 90 seconds of Assault Bike (for calories)
Station 2 – 20 Kettlebell Walking Lunges (32/24 kg)
Station 3 – 90 seconds of Rowing (for calories)
Station 4 – 30 Push-Ups",,
2022-01-17,January,17,2022,Monday,https://www.crossfitinvictus.com/wod/January-17-2022-performance/,".
Glute Activation Warm-Up
Banded Dead Bug Iso Hold x 2 minutes
Banded Clamshell Hold x 1 minute per side
Straight Leg Iso Raise x 1 minute per side
Fire Hydrant Iso Hold x 90 seconds per side
Followed by…
Three sets, not for time, of:
Assault Bike x 15/12 calories
Barbell Back Squats x 10 reps
Bear Crawl x 20 steps forward + 20 steps reverse
Then…","Every minute, on the minute, for 20 minutes (4 sets):
Station 1 –
Front-Foot Elevated Split Squat
x 8 reps @ 3111 (Left)
Station 2 – Front-Foot Elevated Split Squat x 8 reps @ 3111 (Right)
Station 3 – Strict Handstand Push-Ups x Max Reps in 30 seconds
Station 4 – Front-Leaning Rest on Rings x 40 seconds
Station 5 – Bent-Over Reverse Dumbbell Flyes x 10-12 reps @ 2011","“The Ram”
For time:
75 Wall Ball Shots (20/14 lbs)
50 Toes to Bar
50 Wall Ball Shots
25 Toes to Bar
25 Wall Ball Shots"
2022-01-18,January,18,2022,Tuesday,https://www.crossfitinvictus.com/wod/January-18-2022-performance/,".
Tabata x 2 sets each of:
(20 seconds work followed by 10 seconds rest = 1 set)
– Single-Arm Plank
– Alternating Lateral Lunges
– Side Plank
– Air Squats
– Hollow Hold or Rock
– Plank Shoulder Taps
– V-Ups
– Bear Crawl
– Frog Jumps
– Wall Climbs
Then…
Complete as many rounds and reps as possible in 30 minutes of:
50/40 Calories of Assault Bike
25 Burpee Box Jump-Overs (24″/20″)
50/40 Calories of Rowing
15 Devil’s Presses (50/35 lbs)
30 Dumbbell Push Presses (50/35 lbs)",,
2022-01-19,January,19,2022,Wednesday,https://www.crossfitinvictus.com/wod/January-19-2022-performance/,".
Shoulder Circuit
Bicep Openers
x 10 reps
Xiopang
x 10 reps
Bent Over Rows
x 10 reps
Bicep Curl + Push
x 10 reps
Followed by…
One or Two sets w/ empty bar:
5 Clean Deadlifts, 5 Muscle Cleans, 5 Press In Split Jerk Position
3 Power Cleans, 3 Jerk Grip Overhead Squats
3 Squat Cleans, 3 Front Squats
3 Squat Cleans, 3 Sotts Presses
*Every new line means take a short break before moving to the next movements
Then…
Every 4 minutes, for 32 minutes (8 sets) for max load:
400 Meter Run
3 Power Cleans
3 Ring Muscle-Ups
Athletes may only take 3 attempts at the cleans per set, but may adjust the loads as they see fit throughout the workout. Please note total load successfully lifted, as well as number of attempts made – e.g., 6270 lbs; 22/24. Athletes may use as much time as they would like to accomplish the work in each period, but must complete all three elements in order for the round score to count.",,
2022-01-20,January,20,2022,Thursday,https://www.crossfitinvictus.com/wod/January-20-2022-performance/,".
200 Meter Run
Band Assisted Lat Stretch
x 60 seconds per side
Band Assisted Perfect Stretch x 60 seconds per side
200 Meter Run
Band Assisted Scarecrow
x 60 seconds
Hawaiian Squats x 5 reps per leg
200 Meter Run
Followed by…
Two Sets:
Grab a 15-35 lbs plate and complete the following with nasal breathing only…
Overhead Carry x 25′
Goblet Squat x 10 reps (slow and controlled)
Farmers Carry x 25′ (right)
Overhead Squat x 8 reps
Farmers Carry x 25′ (left)
Ground to Overhead x 6 reps
Rest as needed (or don’t rest if not needed)
Then…","Five sets of:
Barbell Hip Thrusts
x 5 reps @ 20X1
(go heavy on these – a good starting weight might be around 80% of your 1-RM Deadlift)
Rest 60 seconds
Band-Resisted Face Pulls x 15 reps @ 21X1
Rest 60 seconds","Complete as many rounds and reps as possible in 10 minutes of:
30 Double-Unders
10 Alternating Dumbbell Snatch + 2 Alternating Reverse Overhead Lunges (55/35 lbs)
(1 repetition = DB Snatch, keep DB overhead, reverse lunge left, then reverse lunge right)"
2022-01-21,January,21,2022,Friday,https://www.crossfitinvictus.com/wod/January-21-2022-performance/,".
Wall Slides x 5 @ 3131
Y’s, T’s & W’s x 5 per position
Followed by…
Every Minute on the Minute for 4 minutes (2 sets):
Station 2 – Glute Bridges x 10 @ 20X2
Station 3 – Palloff Side Steps x 4-5 each side
Followed by…
Every minute, on the minute, for 12 minutes:
Minute 1 – Handstand Hold Work x 34-45 seconds
Minute 2 – Roll to Candlestick x 10 reps
Minute 3 – Overhead Stability Hold x 30-45 seconds
(if you don’t have a Bamboo Bar, kettlebells, sandbag, plates, whatever is challenging!)
Then…","Shoulder Press
*Set 1 – 3 reps @ 60-65%
*Set 2 – 2 reps @ 70-75%
*Set 3 – 3 reps @ 75-80%
*Set 4 – 6 reps @ 80+%
*Set 5 – 6 reps @ 80+%
*Set 6 – 6 reps @ 80+%
Rest as needed
The goal is to perform sets 4-6 at 4-5% more than you used for last week’s set of 8 reps.","Complete rounds of 10, 9, 8, 7, 6, 5, 4, 3, 2 and 1 reps for time of:
Bench Press (Bodyweight/3/4 Bodyweight)
Strict Pull-Ups"
2022-01-22,January,22,2022,Saturday,https://www.crossfitinvictus.com/wod/January-22-2022-performance/,".
3 Minutes on Bike/Run/Row/Ski @ moderate pace w/ nasal breathing only
Followed by…
Two sets of:
Band Assisted Hip Flexor Stretch x 45 seconds per side
Band Assisted Lat Stretch x 45 seconds per side
Followed by…
Three Sets:
Single Arm Hang from Bar x 10-15 seconds per side https://www.youtube.com/watch?v=FlHSXeh8ZDU&feature=youtu.be
Alternating Plank to Pike Toe Taps x 20 reps
100 meter run
Rest as needed
Then…
Complete as many rounds and reps possible in 25 minutes of:
400 Meter Run or 25/18 Calories of Assault Bike
15 Dumbbell Thrusters (50/35 lb DBs)
15 Walking Lunges with Dumbbell Farmer’s Carry (50/35 lb DBs)
400 Meter Run or 25/18 Calories of Assault Bike
15 Devil’s Presses (50/35 lb DBs)",,
2022-01-24,January,24,2022,Monday,https://www.crossfitinvictus.com/wod/January-24-2022-performance/,".
Every minute, on the minute, for 12 minutes:
Minute 1 – Handstand Hold Work x 34-45 seconds
Minute 2 – Roll to Candlestick x 10 reps
Minute 3 – Overhead Stability Hold x 30-45 seconds
(if you don’t have a Bamboo Bar, kettlebells, sandbag, plates, whatever is challenging!)
Followed by. . .
Every 3 minutes for 9 minutes:
60 second Goblet Squat Hold
5 Dumbbell Squat Jumps (light)*
10 Second Assault Bike Sprint
*Squat Jumps: Dumbbells by side, touch either front or back head of the dumbbells to the floor and explode up into a max vertical leap.
Then…","“Nate”
Complete as many rounds and reps as possible in 20 minutes of:
2 Ring Muscle-Ups
4 Strict Handstand Push-Ups
8 Kettlebell Swings (32/24 kg)
Compare results to October 8, 2021.","Three sets of:
Single-Leg Hip Bridge x 10-12 reps each leg @ 2012
Rest 30 seconds
Frog Pumps
x 20 reps @ 1112
(focus on maximal contraction of your glutes during each 2-second hold at the top)
Rest 30 seconds
L-Sit Hold x 45-60 seconds (accumulated)
Rest as needed"
2022-01-25,January,25,2022,Tuesday,https://www.crossfitinvictus.com/wod/January-25-2022-performance/,".
Tabata x 2 sets each of:
(20 seconds work followed by 10 seconds rest = 1 set)
– Single-Arm Plank
– Alternating Lateral Lunges
– Side Plank
– Air Squats
– Hollow Hold or Rock
– Plank Shoulder Taps
– V-Ups
– Bear Crawl
– Frog Jumps
– Wall Climbs
Then…
Every 10 minutes, for 40 minutes (4 sets) for times:
50/40 Calories of Assault Bike or Bike Erg
20 Dumbbell Box Step-Ups (50/35 lb DBs)
10 Wall Walks",,
2022-01-26,January,26,2022,Wednesday,https://www.crossfitinvictus.com/wod/January-26-2022-performance/,".
Banded Lat Stretch x 30-60 seconds per side
Banded Sampson Stretch x 30-60 seconds per side
Lateral Banded Walks x 30 seconds each direction
Scapular Pull-Ups x 10-15 reps
Followed by…
Three Sets:
1 Cluster* + 2-3 Thrusters
*Squat Clean straight into Thruster – this is to practice going straight into your first rep each set of the thrusters.
Rest as needed
Followed by…
30 seconds Assault Bike
3 Pull-Ups (or Burpees if you are saving your pull-ups)
20 seconds Assault Bike
3 Pull-Ups
10 seconds Assault Bike
3 Pull-Ups
*Sub burpees for pull-ups if you are saving yours for the workout.
Then…","“Fran Sandwich”
For time:
1000 Meter Row
immediately followed by…
Rounds of 21, 15 and 9 reps of:
Thrusters (95/65 lbs)
Pull-Ups
immediately followed by…
800 Meter Run","Two sets of:
Bulgarian Split Squat x 20 reps @ 1010
(perform 20 reps at a metronomic tempo – don’t pause at the top or bottom, just constant movement; you can use a front or back-racked barbell or dumbbells held at your sides for these, choose what you prefer and load it appropriately)
Rest 60 seconds between legs, and 2-3 minutes between sets"
2022-01-27,January,27,2022,Thursday,https://www.crossfitinvictus.com/wod/January-27-2022-performance/,".
“Mind Muscle” Complete Snatch Warm-Up
Followed by…
Two Sets w/ PVC or empty barbell:
5 Muscle Snatch, 5 Overhead Squat
4 Power Snatch, 4 Overhead Squat
3 Squat Snatch, 3 Snatch Balances
2 Squat Snatch, 2 Press in Receiving
*Every new line means take a short break before moving to the next movements”
Then…","Every 2 minutes, for 10 minutes (5 sets):
Halting Snatch Deadlift + Hang Snatch + Snatch
(pause for 2 seconds above the knee on halting, then stand it up, then back down to the same position and hold for 1 full second before performing the hang snatch, drop the barbell, then immediately reset and snatch from the floor)","For time:
40/30 Calories of Assault Bike
30 Ground to Overhead (75/55 lbs)
20 Bar-Facing Burpees
400 Meter Run
20 Bar-Facing Burpees
30 Ground to Overhead (75/55 lbs)
40/30 Calories of Assault Bike"
2022-01-28,January,28,2022,Friday,https://www.crossfitinvictus.com/wod/January-28-2022-performance/,".
Assault Bike x 60 seconds (60-65% perceived effort)
Followed by…
Supinated Grip Static Hang x 60 seconds (accumulate if needed)
Perfect Stretch x 10 steps
Pronated Grip Static Hang x 60 seconds (accumulate if needed)
Bear Crawl x 20 steps forward + 20 steps backward
Followed by…
Assault Bike x 60 seconds (70-75% perceived effort)
Followed by…
Plank Shoulder Taps x 30 seconds
Scapular Pull-Ups x 10-15 reps
Wall Climbs x 2-4 reps
Box Jumps or Frog Jumps x 5-10 reps
Followed by…
Assault Bike x 60 seconds (80-85% perceived effort)
Then…","Every minute, on the minute, for 16 minutes (4 sets) of:
Station 1 – Snatch-Grip Romanian Deadlift x 6 reps @ 4011
Station 2 – Tall Box Jumps x 5 reps
(height of box doesn’t matter, focus should be on jumping as high as possible and landing as soft as possible; step down off the box, reset and repeat; it should take about 25-30 seconds to complete your 5 reps if done properly)
Station 3 – Strict Knees to Elbows x 8 reps @ 2110
Station 4 – Banded Overhead Triceps Extensions x 20-25 reps @ 10X0","For time:
40/30 Calories of Assault Bike
40 Kettlebell Swings
30 Burpees
400 Meter Run
30 Burpees
40 Kettlebell Swings
40/30 Calories of Assault Bike"
2022-01-29,January,29,2022,Saturday,https://www.crossfitinvictus.com/wod/January-29-2022-performance/,".
3 Minutes on Bike/Run/Row/Ski @ moderate pace w/ nasal breathing only
Followed by…
Two sets of:
Band Assisted Hip Flexor Stretch
x 45 seconds per side
Band Assisted Lat Stretch
x 45 seconds per side
Followed by…
Three Sets:
Single Arm Hang from Bar
x 10-15 seconds per side
Alternating Plank to Pike Toe Taps x 20 reps
100 meter run
Rest as needed
Then…
Complete as many rounds and reps as possible in 5 minutes of:
15 Box Jumps (24″/20″)
15 Push Presses (95/65 lbs)
Rest 2 minutes, and when the running clock reaches 7:00…
Complete as many rounds and reps as possible in 5 minutes of:
5 Devil’s Presses (50/35 lb DBs)
15 Air Squats
Rest 2 minutes, and when the running clock reaches 14:00…
Complete as many rounds and reps as possible in 5 minutes of:
10 Push-Ups
20 Kettlebell Sumo Deadlifts (48/32 kg)",,
2022-01-31,January,31,2022,Monday,https://www.crossfitinvictus.com/wod/January-31-2022-performance/,".
“Mind Muscle” Complete Snatch Warm-Up
Followed by…
Two Sets w/ PVC or empty barbell:
5 Muscle Snatch, 5 Overhead Squat
4 Power Snatch, 4 Overhead Squat
3 Squat Snatch, 3 Snatch Balances
2 Squat Snatch, 2 Press in Receiving
*Every new line means take a short break before moving to the next movements
Then…","Every 2 minutes, for 6 minutes (3 sets):
Hang Snatch x 1 rep @ 80+%
Followed by…
Every 2 minutes, for 10 minutes (5 sets):
Snatch x 2 reps @ 85+%
Build to today’s heavy double. Drop and reset between reps.","Five rounds for time of:
6 Overhead Squats*
12 Toes to Bar
30 Double-Unders
*For the overhead squats, choose a weight that will challenge you, but that you should still be able to complete the 6 reps unbroken."
2022-02-01,February,1,2022,Tuesday,https://www.crossfitinvictus.com/wod/February-1-2022-performance/,".
Choose one of the following and spend 5 minutes with it:
“Mind Muscle” Foot Love
“Mind Muscle” Calf Love
“Mind Muscle” Shin Love
Followed by…
3 Minutes Assault Bike w/ Nasal Breathing Only
Followed by…
Static Hang x 60 seconds
Wall Slides x 60 seconds
Handstand Hold x 60 seconds
Followed by…
Two Rounds (ramp up intensity throughout):
5 calorie AB
5-Line Shuttle Run
5 Power Cleans (or Heavy KB Swings)
Followed by…
Power Breathing Practice
**This is to ramp you up for the workout! It can also be used as a tool to down regulate your heart and breath. Please do not skip this!!**
Then…
Every 5 minutes, for 30 minutes (3 sets) for times:
*Station 1 – 1000 Meter Row
*Station 2 – Three rounds of:
4 Deadlifts (225/155 lbs)
8 Bar-Facing Burpees
12 Walking Lunges with Farmer’s Carry (24/16 kg KBs)
Note your times to complete each station, each set, for a total of 6 times. Sum those 6 scores for your total working time.",,
2022-02-02,February,2,2022,Wednesday,https://www.crossfitinvictus.com/wod/February-2-2022-performance/,".
Shoulder Circuit
Bicep Openers
x 10 reps
Xiopang
x 10 reps
Bent Over Rows
x 10 reps
Bicep Curl + Push
x 10 reps
Followed by…
One or Two sets w/ empty bar:
5 Clean Deadlifts, 5 Muscle Cleans, 5 Press In Split Jerk Position
3 Power Cleans, 3 Jerk Grip Overhead Squats
3 Squat Cleans, 3 Front Squats
3 Squat Cleans, 3 Sotts Presses
*Every new line means take a short break before moving to the next movements
Then…","Shoulder Press
*Set 1 – 3 reps @ 60-65%
*Set 2 – 3 reps @ 70-75%
*Set 3 – 2 reps @ 75-80%
*Set 4 – 2 reps @ 80-85%
*Set 5 – 1 reps @ 85-90%
*Set 6 – Max Reps @ 80%
*Set 7 – Max Reps @ 70%
Rest as needed","Against a 3-minute running clock…
20/15 Calories of Assault Bike
15 Chest-to-Bar Pull-Ups
Max Reps of Strict Handstand Push-Ups in remaining time
Rest 3 minutes, and repeat for a total of three (3) sets."
2022-02-03,February,3,2022,Thursday,https://www.crossfitinvictus.com/wod/February-3-2022-performance/,".
3 Minutes Assault Bike w/ Nasal Breathing Only
Followed by…
Static Hang x 60 seconds
Wall Slides x 60 seconds
Handstand Hold x 60 seconds
Followed by…
Two Rounds (ramp up intensity throughout):
5 calorie AB
5 Wall Climbs
5-Line Shuttle Run
Followed by…
Power Breathing Practice
**This is to ramp you up for the workout! It can also be used as a tool to down regulate your heart and breath. Please do not skip this!!**
Then…
“Roxy #1”
For time:
800 Meter Run
800 Meter Ski Erg or Row
800 Meter Run
40 Box Jumps (24″/20″)
800 Meter Run
40 Push-Ups
800 Meter Run
800 Meter Row or Ski Erg
This workout mimics elements of a Hyrox race and will help individuals start to get a feel for pacing and approach. We’re excited about helping people prepare for recreational Hyrox races and showing up in force with Invictus members and followers at several upcoming races.",,
2022-02-04,February,4,2022,Friday,https://www.crossfitinvictus.com/wod/February-4-2022-performance/,".
4 Minutes of Calf & Hamstring Mobility of Your Choice
4 Minutes of Hip Flexor & Quad Mobility of Your Choice
Use the
Mind Muscle Playlist
for ideas! Post questions here or
email
the man himself.
Followed by…
Tabata Fun! x 3 sets (rest 10 seconds between stations):
Station 1 – Frog Jumps x 20 seconds
Station 2 – Rotational Medicine Ball Throws (left) x 20 seconds
Station 3 – Rotational Medicine Ball Throws (right) x 20 seconds
Then…","Every 3 minutes, for 15 minutes (5 sets):
Back Squat
*Set 1 – 4 reps @ 70%
*Set 2 – 3 reps @ 80%
*Set 3 – 2 reps @ 85%
*Set 4 – 1 rep @ 88%
*Set 5 – 1 rep @ 92%
Then rest two minutes before starting…
Every minute, on the minute, for 4 minutes:
Back Squat x 2 reps @ 80%
Focus on SPEED of the concentric!","For time:
40 Wall Ball Shots (20/14 lbs)
20 Burpee Box Jump-Overs (24″/20)
30 Wall Ball Shots
15 Burpee Box Jump-Overs
20 Wall Ball Shots
10 Burpee Box Jump-Overs
Time cap = 12 minutes"
2022-02-05,February,5,2022,Saturday,https://www.crossfitinvictus.com/wod/February-5-2022-performance/,".
Tabata x 2 sets each of:
(20 seconds work followed by 10 seconds rest = 1 set)
– Single-Arm Plank
– Alternating Lateral Lunges
– Side Plank
– Air Squats
– Hollow Hold or Rock
– Plank Shoulder Taps
– V-Ups
– Bear Crawl
– Frog Jumps
– Wall Climbs
Then…
In teams of two, alternate movements to complete as many rounds and reps as possible in 30 minutes of:
20/15 Calories of Assault Bike
15 Ring Dips
30 Russian Kettlebell Swings
60 Double Unders
15 Ring Dips
30 Russian Kettlebell Swings
20/15 Calories of Assault Bike",,
